vx,vy,r
5.44329,0.0332772,0.0306856
5.45445,0.0596703,0.0962359
5.43877,0.0331085,0.0352252
5.43306,0.0398288,0.0545351
5.4406,0.028548,0.0610865
5.42578,0.0493271,0.0602092
5.43479,0.0385115,0.0584402
5.44696,0.0458525,0.0722637
5.46946,0.0582822,0.0192938
5.49467,0.0578592,0.0563811
5.48811,0.0651204,0.00924211
5.51209,0.0596645,0.109018
5.52242,0.0749959,0.069626
5.56552,0.0732981,0.0851878
5.60375,0.0779888,0.0770805
5.63565,0.0567507,0.0141713
5.6676,0.0815107,0.0629928
5.70173,0.0938006,0.0962947
